date,region,candidate,party,offyear,runoff,voteshare,candidatevotes,totalvotes
9/21/2024,Coalition,labour,lablib,FALSE,FALSE,0,,
9/21/2024,Coalition,liberal,lablib,FALSE,FALSE,0,,
9/21/2024,North,Josh Shapiro Fan,liberal,FALSE,FALSE,62.5,5,8
9/21/2024,North,Virt,liberal,FALSE,FALSE,12.5,1,8
9/21/2024,North,Cob,labour,FALSE,FALSE,12.5,1,8
9/21/2024,North,Geodore,independent,FALSE,FALSE,12.5,1,8
9/21/2024,West,Nath,liberal,FALSE,FALSE,44.44,4,9
9/21/2024,West,BlockyBeach,alliance,FALSE,FALSE,33.33,3,9
9/21/2024,West,Ash,labour,FALSE,FALSE,22.22,2,9
9/21/2024,West,Nath,liberal,FALSE,TRUE,66.7,6,9
9/21/2024,West,BlockyBeach,alliance,FALSE,TRUE,33.3,3,9
9/21/2024,East,Copperhead,alliance,FALSE,FALSE,50,2,4
9/21/2024,East,GMV,liberal,FALSE,FALSE,25,1,4
9/21/2024,East,toilet paper,labour,FALSE,FALSE,25,1,4
9/21/2024,East,Copperhead,alliance,FALSE,TRUE,50.001,2,4
9/21/2024,East,GMV,liberal,FALSE,TRUE,50,2,4
9/21/2024,South,Ok,labour,FALSE,FALSE,83.33,5,6
9/21/2024,South,How do i type,alliance,FALSE,FALSE,16.67,1,6
9/21/2024,List Seat 1,How do i type,alliance,FALSE,FALSE,100,,
9/21/2024,List Seat 2,BlockyBeach,alliance,FALSE,FALSE,100,,
9/21/2024,List Seat 3,Deet0722,alliance,FALSE,FALSE,100,,
9/21/2024,List Seat 4,Virt,liberal,FALSE,FALSE,100,,
9/21/2024,List Seat 5,GMV,liberal,FALSE,FALSE,100,,
9/21/2024,List Seat 6,Charlemagne,liberal,FALSE,FALSE,100,,
9/21/2024,List Seat 7,Cob,labour,FALSE,FALSE,100,,
9/21/2024,List Seat 8,Ash,labour,FALSE,FALSE,100,,
9/21/2024,List Seat 9,Dannyunown0,labour,FALSE,FALSE,100,,
9/21/2024,National Popular Vote,Labour,labour,FALSE,FALSE,30.77,,
9/21/2024,National Popular Vote,Liberal,liberal,FALSE,FALSE,38.46,,
9/21/2024,National Popular Vote,Alliance,alliance,FALSE,FALSE,30.77,,
10/20/2024,Coalition,labour,unity,FALSE,FALSE,0,,
10/20/2024,Coalition,liberal,unity,FALSE,FALSE,0,,
10/20/2024,Coalition,alliance,unity,FALSE,FALSE,0,,
10/20/2024,East,Copperhead,alliance,FALSE,FALSE,60,3,5
10/20/2024,East,toilet paper,labour,FALSE,FALSE,40,2,5
10/20/2024,South,Dannyunown0,labour,FALSE,FALSE,62.5,5,8
10/20/2024,South,How do i type,alliance,FALSE,FALSE,37.5,3,8
10/20/2024,West,Nath,liberal,FALSE,FALSE,45.45,5,11
10/20/2024,West,BlockyBeach,alliance,FALSE,FALSE,36.36,4,11
10/20/2024,West,Ash,labour,FALSE,FALSE,18.18,2,11
10/20/2024,West,Nath,liberal,FALSE,TRUE,63.64,7,11
10/20/2024,West,BlockyBeach,alliance,FALSE,TRUE,36.36,4,11
10/20/2024,North,Charlemagne,liberal,FALSE,FALSE,30,3,10
10/20/2024,North,Alex,alliance,FALSE,FALSE,40,4,10
10/20/2024,North,Virt,liberal,FALSE,FALSE,30,3,10
10/20/2024,North,Charlemagne,liberal,FALSE,TRUE,55.56,5,9
10/20/2024,North,Alex,alliance,FALSE,TRUE,44.44,4,9
10/20/2024,List Seat 1,How do i type,alliance,FALSE,FALSE,100,,
10/20/2024,List Seat 2,BlockyBeach,alliance,FALSE,FALSE,100,,
10/20/2024,List Seat 3,Virt,liberal,FALSE,FALSE,100,,
10/20/2024,List Seat 4,GMV,liberal,FALSE,FALSE,100,,
10/20/2024,List Seat 5,Strxya,liberal,FALSE,FALSE,100,,
10/20/2024,List Seat 6,Cob,labour,FALSE,FALSE,100,,
10/20/2024,List Seat 7,Ash,labour,FALSE,FALSE,100,,
10/20/2024,List Seat 8,Libtard,labour,FALSE,FALSE,100,,
10/20/2024,National Popular Vote,Labour,labour,FALSE,FALSE,30.3,,
10/20/2024,National Popular Vote,Liberal,liberal,FALSE,FALSE,42.42,,
10/20/2024,National Popular Vote,Alliance,alliance,FALSE,FALSE,27.27,,
11/24/2024,Coalition,labour,labourcon,FALSE,FALSE,0,,
11/24/2024,Coalition,alliance,labourcon,FALSE,FALSE,0,,
11/24/2024,South,Dannyunown0,labour,FALSE,FALSE,57.14,4,7
11/24/2024,South,Meiscool,alliance,FALSE,FALSE,42.86,3,7
11/24/2024,East,Copperhead,alliance,FALSE,FALSE,75,6,8
11/24/2024,East,GMV,liberal,FALSE,FALSE,25,2,8
11/24/2024,North,Alex,liberal,FALSE,FALSE,50,4,8
11/24/2024,North,Virt,liberal,FALSE,FALSE,25,2,8
11/24/2024,North,Charlemagne,liberal,FALSE,FALSE,12.5,1,8
11/24/2024,North,Geodore,alliance,FALSE,FALSE,12.5,1,8
11/24/2024,North,Alex,liberal,FALSE,TRUE,62.5,5,8
11/24/2024,North,Virt,liberal,FALSE,TRUE,25,2,8
11/24/2024,North,Charlemagne,liberal,FALSE,TRUE,12.5,1,8
11/24/2024,West,Nath,liberal,FALSE,FALSE,40,4,10
11/24/2024,West,BlockyBeach,alliance,FALSE,FALSE,40,4,10
11/24/2024,West,Ash,labour,FALSE,FALSE,20,2,10
11/24/2024,West,Nath,liberal,FALSE,TRUE,60,6,10
11/24/2024,West,BlockyBeach,alliance,FALSE,TRUE,40,4,10
11/24/2024,List Seat 1,How do i type,alliance,FALSE,FALSE,100,,
11/24/2024,List Seat 2,BlockyBeach,alliance,FALSE,FALSE,100,,
11/24/2024,List Seat 3,Geodore,alliance,FALSE,FALSE,100,,
11/24/2024,List Seat 4,Virt,liberal,FALSE,FALSE,100,,
11/24/2024,List Seat 5,Charlemagne,liberal,FALSE,FALSE,100,,
11/24/2024,List Seat 6,Sonia Gandhi,labour,FALSE,FALSE,100,,
11/24/2024,List Seat 7,Ok,labour,FALSE,FALSE,100,,
11/24/2024,List Seat 8,Ash,labour,FALSE,FALSE,100,,
11/24/2024,National Popular Vote,Labour,labour,FALSE,FALSE,35.48,,
11/24/2024,National Popular Vote,Liberal,liberal,FALSE,FALSE,32.26,,
11/24/2024,National Popular Vote,Alliance,alliance,FALSE,FALSE,32.26,,
12/15/2024,Coalition,labour,labourcon,FALSE,FALSE,0,,
12/15/2024,Coalition,alliance,labourcon,FALSE,FALSE,0,,
12/15/2024,West,Suom,liberal,FALSE,FALSE,53.33,8,15
12/15/2024,West,BlockyBeach,alliance,FALSE,FALSE,33.33,5,15
12/15/2024,West,Skillyoshi,independent,FALSE,FALSE,6.67,1,15
12/15/2024,West,Srawyer,independent,FALSE,FALSE,6.67,1,15
12/15/2024,North,Alex,liberal,FALSE,FALSE,45.45,5,11
12/15/2024,North,Medikit,alliance,FALSE,FALSE,36.36,4,11
12/15/2024,North,Charlemagne,liberal,FALSE,FALSE,18.18,2,11
12/15/2024,North,Alex,liberal,FALSE,TRUE,60,6,10
12/15/2024,North,Medikit,alliance,FALSE,TRUE,40,4,10
12/15/2024,South,Thatpotatoguy,labour,FALSE,FALSE,30,3,10
12/15/2024,South,Meiscool,alliance,FALSE,FALSE,40,4,10
12/15/2024,South,Dannyunown0,labour,FALSE,FALSE,30,3,10
12/15/2024,South,Thatpotatoguy,labour,FALSE,TRUE,60,6,10
12/15/2024,South,Meiscool,alliance,FALSE,TRUE,40,4,10
12/15/2024,East,bfdifann,labour,FALSE,FALSE,36.36,4,11
12/15/2024,East,GMV,liberal,FALSE,FALSE,27.27,3,11
12/15/2024,East,Copperhead,alliance,FALSE,FALSE,27.27,3,11
12/15/2024,East,Heatland,independent,FALSE,FALSE,9.09,1,11
12/15/2024,East,bfdifann,labour,FALSE,TRUE,63.64,7,11
12/15/2024,East,GMV,liberal,FALSE,TRUE,36.36,4,11
12/15/2024,List Seat 1,How do i type,alliance,FALSE,FALSE,100,,
12/15/2024,List Seat 2,BlockyBeach,alliance,FALSE,FALSE,100,,
12/15/2024,List Seat 3,Geodore,alliance,FALSE,FALSE,100,,
12/15/2024,List Seat 4,Meiscool,alliance,FALSE,FALSE,100,,
12/15/2024,List Seat 5,Virt,liberal,FALSE,FALSE,100,,
12/15/2024,List Seat 6,Nath,liberal,FALSE,FALSE,100,,
12/15/2024,List Seat 7,Sonia Gandhi,labour,FALSE,FALSE,100,,
12/15/2024,List Seat 8,Dannyunown0,labour,FALSE,FALSE,100,,
12/15/2024,National Popular Vote,Labour,labour,FALSE,FALSE,29.79,,
12/15/2024,National Popular Vote,Liberal,liberal,FALSE,FALSE,36.17,,
12/15/2024,National Popular Vote,Alliance,alliance,FALSE,FALSE,34.04,,
12/29/2024,Coalition,labour,labourcon,FALSE,FALSE,0,,
12/29/2024,Coalition,alliance,labourcon,FALSE,FALSE,0,,
12/29/2024,East,Skillyoshi,alliance,TRUE,FALSE,33.3,3,9
12/29/2024,East,bfdifann,progressive,TRUE,FALSE,22.2,2,9
12/29/2024,East,GMV,liberal,TRUE,FALSE,33.3,3,9
12/29/2024,East,Perot,independent,TRUE,FALSE,11.1,1,9
12/29/2024,East,Skillyoshi,alliance,TRUE,TRUE,55.6,5,9
12/29/2024,East,GMV,liberal,TRUE,TRUE,44.4,4,9
01/11/2025,Coalition,liberal,libcon,FALSE,FALSE,0,,
01/11/2025,Coalition,alliance,libcon,FALSE,FALSE,0,,
01/11/2025,North 1st,Cob,progressive,FALSE,FALSE,26.67,4,15
01/11/2025,North 1st,Virt,liberal,FALSE,FALSE,33.33,5,15
01/11/2025,North 1st,Geodore,alliance,FALSE,FALSE,20,3,15
01/11/2025,North 1st,Medikit,alliance,FALSE,FALSE,13.33,2,15
01/11/2025,North 1st,Charlemagne,liberal,FALSE,FALSE,6.67,1,15
01/11/2025,North 2nd,Cob,progressive,FALSE,FALSE,50,5,10
01/11/2025,North 2nd,Geodore,alliance,FALSE,FALSE,30,3,10
01/11/2025,North 2nd,Medikit,alliance,FALSE,FALSE,20,2,10
01/11/2025,East 1st,GMV,liberal,FALSE,FALSE,30,6,20
01/11/2025,East 1st,Perot,labour,FALSE,FALSE,20,4,20
01/11/2025,East 1st,Skillyoshi,alliance,FALSE,FALSE,20,4,20
01/11/2025,East 1st,Copperhead,alliance,FALSE,FALSE,10,2,20
01/11/2025,East 1st,bfdifann,progressive,FALSE,FALSE,20,4,20
01/11/2025,East 1st,Skillyoshi,alliance,FALSE,TRUE,27.27,3,11
01/11/2025,East 1st,Perot,labour,FALSE,TRUE,27.27,3,11
01/11/2025,East 1st,GMV,liberal,FALSE,TRUE,45.45,5,11
01/11/2025,East 2nd,Skillyoshi,alliance,FALSE,FALSE,40.93,4.093,10
01/11/2025,East 2nd,Perot,labour,FALSE,FALSE,59.07,5.907,10
01/11/2025,West 1st,Ash,progressive,FALSE,FALSE,22.22,4,18
01/11/2025,West 1st,Suom,liberal,FALSE,FALSE,27.78,5,18
01/11/2025,West 1st,BlockyBeach,alliance,FALSE,FALSE,27.78,5,18
01/11/2025,West 1st,June_3rd,progressive,FALSE,FALSE,16.67,3,18
01/11/2025,West 1st,Srawyer,alliance,FALSE,FALSE,5.56,1,18
01/11/2025,West 1st,Ash,progressive,FALSE,TRUE,41.18,7,17
01/11/2025,West 1st,Suom,liberal,FALSE,TRUE,29.41,5,17
01/11/2025,West 1st,BlockyBeach,alliance,FALSE,TRUE,29.41,5,17
01/11/2025,West 2nd,Suom,liberal,FALSE,FALSE,53.03,6,11
01/11/2025,West 2nd,BlockyBeach,alliance,FALSE,FALSE,46.97,5,11
01/11/2025,South 1st,Dannyunown0,labour,FALSE,FALSE,33.33,5,15
01/11/2025,South 1st,Qwert,progressive,FALSE,FALSE,26.67,4,15
01/11/2025,South 1st,Thatpotatoguy,labour,FALSE,FALSE,13.33,2,15
01/11/2025,South 1st,How do i type,alliance,FALSE,FALSE,13.33,2,15
01/11/2025,South 1st,Meiscool,alliance,FALSE,FALSE,13.33,2,15
01/11/2025,South 2nd,Qwert,progressive,FALSE,FALSE,40,4,10
01/11/2025,South 2nd,Thatpotatoguy,labour,FALSE,FALSE,20,2,10
01/11/2025,South 2nd,How do i type,alliance,FALSE,FALSE,20,2,10
01/11/2025,South 2nd,Meiscool,alliance,FALSE,FALSE,20,2,10
01/11/2025,South 2nd,Qwert,progressive,FALSE,TRUE,50.001,5,10
01/11/2025,South 2nd,How do i type,alliance,FALSE,TRUE,50,5,10
01/11/2025,List Seat 1,How do i type,alliance,FALSE,FALSE,100,,
01/11/2025,List Seat 2,BlockyBeach,alliance,FALSE,FALSE,100,,
01/11/2025,List Seat 3,Geodore,alliance,FALSE,FALSE,100,,
01/11/2025,List Seat 4,Medikit,alliance,FALSE,FALSE,100,,
01/11/2025,List Seat 5,Skillyoshi,alliance,FALSE,FALSE,100,,
01/11/2025,List Seat 6,Alex,liberal,FALSE,FALSE,100,,
01/11/2025,List Seat 7,Charlemagne,liberal,FALSE,FALSE,100,,
01/11/2025,List Seat 8,Sonia Gandhi,labour,FALSE,FALSE,100,,
01/11/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,20.34,,
01/11/2025,National Popular Vote,Labour,labour,FALSE,FALSE,20.34,,
01/11/2025,National Popular Vote,Liberal,liberal,FALSE,FALSE,27.12,,
01/11/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,32.2,,
1/20/2025,Coalition,liberal,libcon,FALSE,FALSE,0,,
1/20/2025,Coalition,alliance,libcon,FALSE,FALSE,0,,
1/20/2025,West 2nd,BlockyBeach,alliance,TRUE,FALSE,50,7,14
1/20/2025,West 2nd,June_3rd,progressive,TRUE,FALSE,28.6,4,14
1/20/2025,West 2nd,Suom,wildrose,TRUE,FALSE,21.4,3,14
1/20/2025,West 2nd,BlockyBeach,alliance,TRUE,TRUE,57.1,8,14
1/20/2025,West 2nd,June_3rd,progressive,TRUE,TRUE,42.9,6,14
02/09/2025,Coalition,liberal,citrus,FALSE,FALSE,0,,
02/09/2025,Coalition,progressive,citrus,FALSE,FALSE,0,,
02/09/2025,Coalition,labour,labourcon,FALSE,FALSE,0,,
02/09/2025,Coalition,alliance,labourcon,FALSE,FALSE,0,,
02/09/2025,Coalition,Alex,citrus,FALSE,FALSE,0,,
02/09/2025,Coalition,Medikit,citrus,FALSE,FALSE,0,,
02/09/2025,Dentone,BlockyBeach,alliance,FALSE,FALSE,71.43,5,7
02/09/2025,Dentone,Ash,liberal,FALSE,FALSE,14.29,1,7
02/09/2025,Dentone,Joris,progressive,FALSE,FALSE,14.29,1,7
02/09/2025,Quintin,How do i type,alliance,FALSE,FALSE,42.86,3,7
02/09/2025,Quintin,Ok,labour,FALSE,FALSE,57.14,4,7
02/09/2025,Garvor,Nath,liberal,FALSE,FALSE,60,3,5
02/09/2025,Garvor,Srawyer,alliance,FALSE,FALSE,20,1,5
02/09/2025,Garvor,Suom,liberal,FALSE,FALSE,20,1,5
02/09/2025,Garvor,SNAA,labour,FALSE,FALSE,20,1,5
02/09/2025,Brunix Islands,Alex,alliance,FALSE,FALSE,50,6,12
02/09/2025,Brunix Islands,Charlemagne,liberal,FALSE,FALSE,16.67,2,12
02/09/2025,Brunix Islands,Geodore,alliance,FALSE,FALSE,16.67,2,12
02/09/2025,Brunix Islands,Dave,progressive,FALSE,FALSE,16.67,2,12
02/09/2025,Brunix Islands,Alex,alliance,FALSE,TRUE,58.33,7,12
02/09/2025,Brunix Islands,Charlemagne,liberal,FALSE,TRUE,41.67,5,12
02/09/2025,Emix,Medikit,alliance,FALSE,FALSE,50,6,12
02/09/2025,Emix,Jager,labour,FALSE,FALSE,25,3,12
02/09/2025,Emix,Javer,labour,FALSE,FALSE,25,3,12
02/09/2025,Emix,Medikit,alliance,FALSE,TRUE,58.33,7,12
02/09/2025,Emix,Jager,labour,FALSE,TRUE,41.67,5,12
02/09/2025,Alvana,Qwert,progressive,FALSE,FALSE,46.15,6,13
02/09/2025,Alvana,Dannyunown0,labour,FALSE,FALSE,23.08,3,13
02/09/2025,Alvana,Meiscool,alliance,FALSE,FALSE,23.08,3,13
02/09/2025,Alvana,Riley,labour,FALSE,FALSE,7.69,1,13
02/09/2025,Alvana,Qwert,progressive,FALSE,TRUE,58.33,7,12
02/09/2025,Alvana,Dannyunown0,labour,FALSE,TRUE,41.67,5,12
02/09/2025,Dalminica,Copperhead,alliance,FALSE,FALSE,42.86,3,7
02/09/2025,Dalminica,bfdifann,progressive,FALSE,FALSE,28.57,2,7
02/09/2025,Dalminica,Josephist,alliance,FALSE,FALSE,14.29,1,7
02/09/2025,Dalminica,GMV,liberal,FALSE,FALSE,14.29,1,7
02/09/2025,Dalminica,Copperhead,alliance,FALSE,TRUE,50.001,3,6
02/09/2025,Dalminica,bfdifann,progressive,FALSE,TRUE,50,3,6
02/09/2025,Trunoe,Perot,labour,FALSE,FALSE,100,8,8
02/09/2025,List Seat 1,How do i type,alliance,FALSE,FALSE,100,,
02/09/2025,List Seat 2,Virt,liberal,FALSE,FALSE,100,,
02/09/2025,List Seat 3,GMV,liberal,FALSE,FALSE,100,,
02/09/2025,List Seat 4,Suom,liberal,FALSE,FALSE,100,,
02/09/2025,List Seat 5,Charlemagne,liberal,FALSE,FALSE,100,,
02/09/2025,List Seat 6,SNAA,labour,FALSE,FALSE,100,,
02/09/2025,List Seat 7,Thatpotatoguy,labour,FALSE,FALSE,100,,
02/09/2025,List Seat 8,Joris,progressive,FALSE,FALSE,100,,
02/09/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,12.68,,
02/09/2025,National Popular Vote,Labour,labour,FALSE,FALSE,26.76,,
02/09/2025,National Popular Vote,Liberal,liberal,FALSE,FALSE,29.58,,
02/09/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,30.99,,
03/09/2025,Coalition,labour,labourcon,FALSE,FALSE,0,,
03/09/2025,Coalition,alliance,labourcon,FALSE,FALSE,0,,
03/09/2025,Coalition,liberal,citrus,FALSE,FALSE,0,,
03/09/2025,Coalition,progressive,citrus,FALSE,FALSE,0,,
03/09/2025,Dentone,BlockyBeach,alliance,FALSE,FALSE,100,4,4
03/09/2025,Garvor,Strxya,progressive,FALSE,FALSE,66.67,4,6
03/09/2025,Garvor,SNAA,labour,FALSE,FALSE,33.33,2,6
03/09/2025,Dalminica,GMV,liberal,FALSE,FALSE,28.57,2,7
03/09/2025,Dalminica,bfdifann,labour,FALSE,FALSE,42.86,3,7
03/09/2025,Dalminica,Copperhead,alliance,FALSE,FALSE,28.57,2,7
03/09/2025,Dalminica,GMV,liberal,FALSE,TRUE,57.14,4,7
03/09/2025,Dalminica,bfdifann,labour,FALSE,TRUE,42.86,3,7
03/09/2025,Trunoe,Rocket Dino,labour,FALSE,FALSE,75,4,6
03/09/2025,Trunoe,Perot,independent,FALSE,FALSE,25,2,6
03/09/2025,Brunix Islands,Charlemagne,liberal,FALSE,FALSE,38.46,5,13
03/09/2025,Brunix Islands,ᏁᎥፈᏦᏖᏂᏋፈᎧᎧᏝ,alliance,FALSE,FALSE,30.77,4,13
03/09/2025,Brunix Islands,Goop,alliance,FALSE,FALSE,15.38,2,13
03/09/2025,Brunix Islands,Microplastics Lover,labour,FALSE,FALSE,15.38,2,13
03/09/2025,Brunix Islands,Charlemagne,liberal,FALSE,TRUE,53.85,7,13
03/09/2025,Brunix Islands,ᏁᎥፈᏦᏖᏂᏋፈᎧᎧᏝ,alliance,FALSE,TRUE,46.15,6,13
03/09/2025,Emix,Javer,labour,FALSE,FALSE,75,6,8
03/09/2025,Emix,Medikit,alliance,FALSE,FALSE,25,2,8
03/09/2025,Alvana,Qwert,progressive,FALSE,FALSE,45.45,5,11
03/09/2025,Alvana,Thatpotatoguy,labour,FALSE,FALSE,36.36,4,11
03/09/2025,Alvana,Meiscool,alliance,FALSE,FALSE,18.18,2,11
03/09/2025,Alvana,Qwert,progressive,FALSE,TRUE,50.001,5,10
03/09/2025,Alvana,Thatpotatoguy,labour,FALSE,TRUE,50,5,10
03/09/2025,Quintin,Ok,labour,FALSE,FALSE,71.43,5,7
03/09/2025,Quintin,How do i type,alliance,FALSE,FALSE,28.57,2,7
03/09/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,12.31,,
03/09/2025,National Popular Vote,Labour,labour,FALSE,FALSE,32.31,,
03/09/2025,National Popular Vote,Liberal,liberal,FALSE,FALSE,23.08,,
03/09/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,32.31,,
03/09/2025,List Seat 1,How do i type,alliance,FALSE,FALSE,100,,
03/09/2025,List Seat 2,Meiscool,alliance,FALSE,FALSE,100,,
03/09/2025,List Seat 3,Copperhead,alliance,FALSE,FALSE,100,,
03/09/2025,List Seat 4,Medikit,alliance,FALSE,FALSE,100,,
03/09/2025,List Seat 5,Virt,liberal,FALSE,FALSE,100,,
03/09/2025,List Seat 6,Suom,liberal,FALSE,FALSE,100,,
03/09/2025,List Seat 7,Dannyunown0,labour,FALSE,FALSE,100,,
03/09/2025,List Seat 8,Thatpotatoguy,labour,FALSE,FALSE,100,,
04/06/2025,Coalition,labour,traffic,FALSE,FALSE,0,,
04/06/2025,Coalition,liberal,traffic,FALSE,FALSE,0,,
04/06/2025,Coalition,progressive,traffic,FALSE,FALSE,0,,
04/06/2025,Dentone,BlockyBeach,alliance,FALSE,FALSE,62.5,5,8
04/06/2025,Dentone,Joris,progressive,FALSE,FALSE,25,2,8
04/06/2025,Dentone,Hadanna,liberal,FALSE,FALSE,12.5,1,8
04/06/2025,Garvor,Strxya,progressive,FALSE,FALSE,78.57,11,14
04/06/2025,Garvor,Srawyer,independent,FALSE,FALSE,21.43,3,14
04/06/2025,Dalminica,Copperhead,alliance,FALSE,FALSE,30,3,10
04/06/2025,Dalminica,GMV,liberal,FALSE,FALSE,40,4,10
04/06/2025,Dalminica,bfdifann,labour,FALSE,FALSE,20,2,10
04/06/2025,Dalminica,KiwiFox,labour,FALSE,FALSE,10,1,10
04/06/2025,Dalminica,Copperhead,alliance,FALSE,TRUE,50.001,5,10
04/06/2025,Dalminica,GMV,liberal,FALSE,TRUE,50,5,10
04/06/2025,Trunoe,Perot,labour,FALSE,FALSE,54.55,6,11
04/06/2025,Trunoe,TBS387,alliance,FALSE,FALSE,45.45,5,11
04/06/2025,Brunix Islands,Charlemagne,liberal,FALSE,FALSE,63.64,7,11
04/06/2025,Brunix Islands,Geodore,alliance,FALSE,FALSE,36.36,4,11
04/06/2025,Emix,Javer,labour,FALSE,FALSE,100,9,9
04/06/2025,Alvana,Qwert,progressive,FALSE,FALSE,55.56,5,9
04/06/2025,Alvana,Thatpotatoguy,labour,FALSE,FALSE,44.44,4,9
04/06/2025,Quintin,Gyokeres,progressive,FALSE,FALSE,50,6,12
04/06/2025,Quintin,Luka Gillman,alliance,FALSE,FALSE,33.33,4,12
04/06/2025,Quintin,Beary,progressive,FALSE,FALSE,16.67,2,12
04/06/2025,Quintin,Gyokeres,progressive,FALSE,TRUE,66.67,8,12
04/06/2025,Quintin,Luka Gillman,alliance,FALSE,TRUE,33.33,4,12
04/06/2025,National Popular Vote,Progressive,progressive,FALSE,FALSE,22.47,,
04/06/2025,National Popular Vote,Labour,labour,FALSE,FALSE,23.6,,
04/06/2025,National Popular Vote,Liberal,liberal,FALSE,FALSE,28.09,,
04/06/2025,National Popular Vote,Alliance,alliance,FALSE,FALSE,25.84,,
04/06/2025,List Seat 1,How do i type,alliance,FALSE,FALSE,100,,
04/06/2025,List Seat 2,Geodore,alliance,FALSE,FALSE,100,,
04/06/2025,List Seat 3,Suom,liberal,FALSE,FALSE,100,,
04/06/2025,List Seat 4,GMV,liberal,FALSE,FALSE,100,,
04/06/2025,List Seat 5,Hada,liberal,FALSE,FALSE,100,,
04/06/2025,List Seat 6,ColdAdam,liberal,FALSE,FALSE,100,,
04/06/2025,List Seat 7,Ok,labour,FALSE,FALSE,100,,
04/06/2025,List Seat 8,Thatpotatoguy,labour,FALSE,FALSE,100,,
4/13/2025,Coalition,labour,traffic,FALSE,FALSE,0,,
4/13/2025,Coalition,liberal,traffic,FALSE,FALSE,0,,
4/13/2025,Coalition,progressive,traffic,FALSE,FALSE,0,,
4/13/2025,Quintin,Republic Guy,progressive,TRUE,FALSE,36.36,4,11
4/13/2025,Quintin,Luka Gillman,alliance,TRUE,FALSE,36.36,4,11
4/13/2025,Quintin,Sonia Gandhi,labour,TRUE,FALSE,18.18,2,11
4/13/2025,Quintin,Beary,progressive,TRUE,FALSE,9.09,1,11
4/13/2025,Quintin,Republic Guy,progressive,TRUE,TRUE,63.64,7,11
4/13/2025,Quintin,Luka Gillman,alliance,TRUE,TRUE,36.36,4,11
05/11/2025,Coalition,labour,traffic,FALSE,FALSE,0,,
05/11/2025,Coalition,liberal,traffic,FALSE,FALSE,0,,
05/11/2025,Coalition,progressive,traffic,FALSE,FALSE,0,,
05/11/2025,Brunix Islands,Kanbo,alliance,FALSE,FALSE,63.64,7,11
05/11/2025,Brunix Islands,Charlemagne,liberal,FALSE,FALSE,36.36,4,11
05/11/2025,Emix,Javer,labour,FALSE,FALSE,75,9,12
05/11/2025,Emix,LeBron James,progressive,FALSE,FALSE,25,3,12
05/11/2025,Dalminica,SunwardH,progressive,FALSE,FALSE,36.36,4,11
05/11/2025,Dalminica,Copperhead,alliance,FALSE,FALSE,36.36,4,11
05/11/2025,Dalminica,bfdifann,labour,FALSE,FALSE,9.09,1,11
05/11/2025,Dalminica,GMV,liberal,FALSE,FALSE,9.09,1,11
