date,region,candidate,party,offyear,runoff,voteshare
1/26/2026,West Sitting,Strxya,progressive,FALSE,FALSE,100
1/26/2026,Center Sitting,GMV,alliance,FALSE,FALSE,100
1/26/2026,North,Paradise,alliance,FALSE,FALSE,62.33
1/26/2026,North,ItzTinonTime,labour,FALSE,FALSE,37.67
1/26/2026,East,Meiscool,coalition,FALSE,FALSE,48.52
1/26/2026,East,Growmper,progressive,FALSE,FALSE,24.63
1/26/2026,East,Tommy,pwp,FALSE,FALSE,18.16
1/26/2026,East,Potato,solidarity,FALSE,FALSE,8.69
1/26/2026,East,Meiscool,coalition,FALSE,TRUE,50.46
1/26/2026,East,Growmper,progressive,FALSE,TRUE,30.37
1/26/2026,East,Tommy,pwp,FALSE,TRUE,19.17
1/26/2026,South,Timothy Pickering,alliance,FALSE,FALSE,59.03
1/26/2026,South,Seth,progressive,FALSE,FALSE,30.11
1/26/2026,South,Benjamina Netanyahu,coalition,FALSE,FALSE,10.86
1/26/2026,South,ThatRandomGuy,independent,FALSE,FALSE,0
1/26/2026,West,Viterkol,alliance,FALSE,FALSE,53.73
1/26/2026,West,Eevee,coalition,FALSE,FALSE,24.14
1/26/2026,West,Bart de Wever,labour,FALSE,FALSE,22.13
1/26/2026,Center,Marin Kitagawa,coalition,FALSE,FALSE,49.28
1/26/2026,Center,Flor Belgier,labour,FALSE,FALSE,43.73
1/26/2026,Center,Eric Davidson,independent,FALSE,FALSE,6.99
1/26/2026,Center,Marin Kitagawa,coalition,FALSE,TRUE,54.49
1/26/2026,Center,Flor Belgier,labour,FALSE,TRUE,45.51
1/26/2026,National Popular Vote,Coalition,coalition,FALSE,FALSE,26.11
1/26/2026,National Popular Vote,Alliance,alliance,FALSE,FALSE,35.14
1/26/2026,National Popular Vote,Solidarity,solidarity,FALSE,FALSE,3.71
1/26/2026,National Popular Vote,Independent,independent,FALSE,FALSE,1.35
1/26/2026,National Popular Vote,Labour,labour,FALSE,FALSE,20.13
1/26/2026,National Popular Vote,Progressive,progressive,FALSE,FALSE,11.39
1/26/2026,National Popular Vote,PWP,pwp,FALSE,FALSE,1.78
03/01/2026,North Sitting,Paradise,alliance,FALSE,FALSE,100
03/01/2026,East Sitting,Meiscool,coalition,FALSE,FALSE,100
03/01/2026,South Sitting,Timothy Pickering,alliance,FALSE,FALSE,100
03/01/2026,West Sitting,Viterkol,independent,FALSE,FALSE,100
03/01/2026,Center Sitting,Marin Kitagawa,proglab,FALSE,FALSE,100
03/01/2026,North,BFDIfan,proglab,FALSE,FALSE,52.71
03/01/2026,North,Cob,pwp,FALSE,FALSE,45.49
03/01/2026,North,Earthseeker,independent,FALSE,FALSE,1.8
03/01/2026,East,NebularSpace,alliance,FALSE,FALSE,47.94
03/01/2026,East,Forsh,proglab,FALSE,FALSE,22.67
03/01/2026,East,Potato,solidarity,FALSE,FALSE,14.72
03/01/2026,East,Flame,pwp,FALSE,FALSE,14.68
03/01/2026,East,NebularSpace,alliance,FALSE,TRUE,50.6
03/01/2026,East,Forsh,proglab,FALSE,TRUE,31.91
03/01/2026,East,Potato,solidarity,FALSE,TRUE,18.21
03/01/2026,South,ThatRandomGuy,jnp,FALSE,FALSE,48.17
03/01/2026,South,Danylo,proglab,FALSE,FALSE,42.96
03/01/2026,South,Joris,independent,FALSE,FALSE,8.87
03/01/2026,South,ThatRandomGuy,jnp,FALSE,TRUE,50.15
03/01/2026,South,Danylo,proglab,FALSE,TRUE,49.85
03/01/2026,West,Dirty Yield,alliance,FALSE,FALSE,42.73
03/01/2026,West,Bart de Wever,proglab,FALSE,FALSE,30.29
03/01/2026,West,Jack Thatch,jnp,FALSE,FALSE,15.27
03/01/2026,West,Burley,pwp,FALSE,FALSE,11.7
03/01/2026,West,Dirty Yield,alliance,FALSE,TRUE,60.71
03/01/2026,West,Bart de Wever,proglab,FALSE,TRUE,39.29
03/01/2026,Center,GMV,alliance,FALSE,FALSE,49.2
03/01/2026,Center,Jabed Borgerman,independent,FALSE,FALSE,28.73
03/01/2026,Center,Mokaeo,solidarity,FALSE,FALSE,16.22
03/01/2026,Center,Howard Davidson,independent,FALSE,FALSE,5.85
03/01/2026,Center,GMV,alliance,FALSE,TRUE,50.39
03/01/2026,Center,Jabed Borgerman,independent,FALSE,TRUE,29.2
03/01/2026,Center,Mokaeo,solidarity,FALSE,TRUE,20.41
03/01/2026,National Popular Vote,Nationals,jnp,FALSE,FALSE,13.33
03/01/2026,National Popular Vote,Alliance,alliance,FALSE,FALSE,27.74
03/01/2026,National Popular Vote,Solidarity,solidarity,FALSE,FALSE,6.08
03/01/2026,National Popular Vote,Independent,independent,FALSE,FALSE,8.85
03/01/2026,National Popular Vote,ProgLab,proglab,FALSE,FALSE,29.11
03/01/2026,National Popular Vote,UCP,pwp,FALSE,FALSE,14.88
04/18/2026,North Sitting,BFDIfan,green,FALSE,FALSE,100
04/18/2026,East Sitting,NebularSpace,alliance,FALSE,FALSE,100
04/18/2026,South Sitting,ThatRandomGuy,jnp,FALSE,FALSE,100
04/18/2026,West Sitting,Dirty Yield,alliance,FALSE,FALSE,100
04/18/2026,Center Sitting,GMV,alliance,FALSE,FALSE,100
04/18/2026,North,ItzTinonTime,sdp,FALSE,FALSE,36.04
04/18/2026,North,Lee,solidarity,FALSE,FALSE,32.58
04/18/2026,North,Cob,ucp,FALSE,FALSE,31.39
04/18/2026,North,ItzTinonTime,sdp,FALSE,TRUE,64.42
04/18/2026,North,Lee,solidarity,FALSE,TRUE,35.58
04/18/2026,West,Felix Argyle,jnp,FALSE,FALSE,39.71
04/18/2026,West,Niven,green,FALSE,FALSE,24.2
04/18/2026,West,Bart de Wever,sdp,FALSE,FALSE,21.74
04/18/2026,West,Viterkol,solidarity,FALSE,FALSE,14.35
04/18/2026,West,Niven,green,FALSE,TRUE,50.56
04/18/2026,West,Felix Argyle,jnp,FALSE,TRUE,49.44
04/18/2026,East,Potato,solidarity,FALSE,FALSE,41.27
04/18/2026,East,Forsh the V of Trunoe,green,FALSE,FALSE,24.38
04/18/2026,East,Bruhton,sdp,FALSE,FALSE,21.98
04/18/2026,East,Robert M. LaFollette,ucp,FALSE,FALSE,12.37
04/18/2026,East,Potato,solidarity,FALSE,TRUE,52.14
04/18/2026,East,Forsh the V of Trunoe,green,FALSE,TRUE,47.86
04/18/2026,South,Beach,alliance,FALSE,FALSE,50.41
04/18/2026,South,Seth,sdp,FALSE,FALSE,35.61
04/18/2026,South,Danylo Isaacson-Lebid',ucp,FALSE,FALSE,13.98
04/18/2026,Center,Odin,solidarity,FALSE,FALSE,48.41
04/18/2026,Center,Flor Belgier,sdp,FALSE,FALSE,34.34
04/18/2026,Center,Izemoji,green,FALSE,FALSE,17.25
04/18/2026,Center,Odin,solidarity,FALSE,TRUE,53.23
04/18/2026,Center,Flor Belgier,sdp,FALSE,TRUE,46.77
04/18/2026,National Popular Vote,Nationals,jnp,FALSE,FALSE,1
04/18/2026,National Popular Vote,Alliance,alliance,FALSE,FALSE,1
04/18/2026,National Popular Vote,Solidarity,solidarity,FALSE,FALSE,1
04/18/2026,National Popular Vote,Independent,independent,FALSE,FALSE,1
04/18/2026,National Popular Vote,SDP,sdp,FALSE,FALSE,1
04/18/2026,National Popular Vote,Greens,green,FALSE,FALSE,1
04/18/2026,National Popular Vote,UCP,pwp,FALSE,FALSE,1
